"id","date","crypto","url","url_mobile","title","seendate","socialimage","domain","language","sourcecountry","finbert_positive","finbert_negative","final_finbert","fama_french"
1,"2022-07-05 10:25:49.081509+02","bitcoin","https://www.forbes.com/sites/peterizzo/2022/07/04/bitcoin-maximalism-is-dead-long-live-bitcoin-maximalism/","https://www.forbes.com/sites/peterizzo/2022/07/04/bitcoin-maximalism-is-dead-long-live-bitcoin-maximalism/amp/","Bitcoin Maximalism Is Dead , Long Live Bitcoin Maximalism","20220704T133000Z","https://imageio.forbes.com/specials-images/imageserve/62c17373f1e1c0175a8bca9b/0x0.jpg?format=jpg","forbes.com","English","United States",0.003,0.009,-0.009,0
2,"2022-07-05 10:25:49.082509+02","bitcoin","https://www.ndtv.com/business/grayscale-vs-us-regulator-lawsuits-ruling-on-crypto-within-a-year-ceo-3125131","https://www.ndtv.com/business/grayscale-vs-us-regulator-lawsuits-ruling-on-crypto-within-a-year-ceo-3125131/amp/1","Grayscale Vs US Regulator Lawsuit Ruling On Crypto Within A Year : CEO","20220704T071500Z","https://c.ndtvimg.com/2022-07/ia1ietg8_reuters-image_625x300_04_July_22.jpg","ndtv.com","English","India",0.004,0.183,-0.183,0
3,"2022-07-05 10:25:49.084509+02","bitcoin","https://www.coinspeaker.com/bitcoin-family-down-btc-investments-continues-buying/","https://www.coinspeaker.com/bitcoin-family-down-btc-investments-continues-buying/amp/","Bitcoin Family Down Over $1M on BTC Investments , Continues Buying","20220704T151500Z","https://www.coinspeaker.com/wp-content/uploads/2022/07/bitcoin-family-down-btc-investments-continues-buying.jpg","coinspeaker.com","English","United States",0.215,0.42,-0.42,0
4,"2022-07-05 10:25:49.085509+02","bitcoin","https://www.forbes.com/sites/billybambrough/2022/07/04/crypto-the-biggest-ponzi-scheme-in-human-history-china-blockchain-execs-back-bill-gates-and-warren-buffett-after-huge-bitcoin-price-crash/","https://www.forbes.com/sites/billybambrough/2022/07/04/crypto-the-biggest-ponzi-scheme-in-human-history-china-blockchain-execs-back-bill-gates-and-warren-buffett-after-huge-bitcoin-price-crash/amp/","Crypto  The Biggest Ponzi Scheme In Human History  China Blockchain Execs Back Bill Gates And Warren Buffett After Huge Bitcoin Price Crash","20220704T144500Z","https://imageio.forbes.com/specials-images/imageserve/5d66234ffead280008925a49/0x0.jpg?format=jpg","forbes.com","English","United States",0.006,0.964,-2.0,0
5,"2022-07-05 10:26:21.469639+02","solana","https://www.economywatch.com/news/next-cryptocurrency-to-explode","","Next Cryptocurrency to Explode - Economy Watch","20220704T160000Z","https://www.economywatch.com/wp-content/uploads/2022/06/next-cryptocurrency-to-explode.jpg","economywatch.com","English","China",0.004,0.003,0.004,0
6,"2022-07-05 10:26:21.471225+02","solana","https://forextv.com/bitcoin-news/cryptocurrencies-price-prediction-ethereum-solana-bitcoin-american-wrap-04-july/","https://forextv.com/bitcoin-news/cryptocurrencies-price-prediction-ethereum-solana-bitcoin-american-wrap-04-july/amp/","Cryptocurrencies Price Prediction : Ethereum , Solana & Bitcoin – American Wrap 04 July","20220704T231500Z","","forextv.com","English","United States",0.007,0.002,0.007,0
7,"2022-07-05 10:26:21.472225+02","solana","https://www.albawaba.com/business/crypto-prices-today-bitcoin-holds-19k-levels-1483015","https://www.albawaba.com/amp/business/crypto-prices-today-bitcoin-holds-19k-levels-1483015","Crypto Prices Today : Bitcoin Holds On to $19K Levels","20220704T221500Z","https://www.albawaba.com/sites/default/files/styles/default/public/2022-07/shutterstock_650811631.jpg?itok=HX_Z4340","albawaba.com","English","Israel",0.989,0.002,2,0
8,"2022-07-05 10:26:21.47423+02","solana","https://www.businesstoday.in/crypto/story/crypto-markets-in-red-solana-dogecoin-rises-marginally-340165-2022-07-04","https://www.businesstoday.in/amp/crypto/story/crypto-markets-in-red-solana-dogecoin-rises-marginally-340165-2022-07-04","Crypto markets in red ; Solana , Dogecoin rise marginally","20220704T074500Z","https://akm-img-a-in.tosshub.com/businesstoday/images/story/202207/markets-sixteen_nine.jpg","businesstoday.in","English","India",0.959,0.002,2,0
9,"2022-07-05 10:26:21.47523+02","solana","https://www.businesstoday.in/crypto/story/crypto-markets-in-red-solana-dogecoin-rise-marginally-340165-2022-07-04","https://www.businesstoday.in/amp/crypto/story/crypto-markets-in-red-solana-dogecoin-rise-marginally-340165-2022-07-04","Crypto markets in red ; Solana , Dogecoin rise marginally","20220704T041500Z","https://akm-img-a-in.tosshub.com/businesstoday/images/story/202207/markets-sixteen_nine.jpg","businesstoday.in","English","India",0.959,0.002,2,0
10,"2022-07-05 10:26:21.47623+02","solana","https://www.indiatoday.in/business/story/bitcoin-price-crashes-below-20-000-cryptocurrency-market-in-red-1969996-2022-07-04","https://www.indiatoday.in/amp/business/story/bitcoin-price-crashes-below-20-000-cryptocurrency-market-in-red-1969996-2022-07-04","Bitcoin price crashes below $20 , 000 , cryptocurrency market in red","20220704T110000Z","https://akm-img-a-in.tosshub.com/indiatoday/images/story/202207/6SAMNTRT7VOPROLBF6PSNBNXIU_0-647x363.jpeg?b19sFDLim6_zZ8bC3QhB77DYDxq8JUAY","indiatoday.in","English","India",0.002,0.986,-2.0,0
