id,date,crypto,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,finbert_positive,finbert_negative,final_finbert,fama_french
1,2022-07-05 11:56:46.409351+02,bitcoin,https://www.forbes.com/sites/peterizzo/2022/07/04/bitcoin-maximalism-is-dead-long-live-bitcoin-maximalism/,https://www.forbes.com/sites/peterizzo/2022/07/04/bitcoin-maximalism-is-dead-long-live-bitcoin-maximalism/amp/,"Bitcoin Maximalism Is Dead , Long Live Bitcoin Maximalism",20220704T133000Z,https://imageio.forbes.com/specials-images/imageserve/62c17373f1e1c0175a8bca9b/0x0.jpg?format=jpg,forbes.com,English,United States,0.003,0.009,-0.009,0
2,2022-07-05 11:56:46.411356+02,bitcoin,https://www.ndtv.com/business/grayscale-vs-us-regulator-lawsuits-ruling-on-crypto-within-a-year-ceo-3125131,https://www.ndtv.com/business/grayscale-vs-us-regulator-lawsuits-ruling-on-crypto-within-a-year-ceo-3125131/amp/1,Grayscale Vs US Regulator Lawsuit Ruling On Crypto Within A Year : CEO,20220704T071500Z,https://c.ndtvimg.com/2022-07/ia1ietg8_reuters-image_625x300_04_July_22.jpg,ndtv.com,English,India,0.004,0.183,-0.183,0
3,2022-07-05 11:56:46.412358+02,bitcoin,https://www.coinspeaker.com/bitcoin-family-down-btc-investments-continues-buying/,https://www.coinspeaker.com/bitcoin-family-down-btc-investments-continues-buying/amp/,"Bitcoin Family Down Over $1M on BTC Investments , Continues Buying",20220704T151500Z,https://www.coinspeaker.com/wp-content/uploads/2022/07/bitcoin-family-down-btc-investments-continues-buying.jpg,coinspeaker.com,English,United States,0.215,0.42,-0.42,0
4,2022-07-05 11:56:46.414351+02,bitcoin,https://www.forbes.com/sites/billybambrough/2022/07/04/crypto-the-biggest-ponzi-scheme-in-human-history-china-blockchain-execs-back-bill-gates-and-warren-buffett-after-huge-bitcoin-price-crash/,https://www.forbes.com/sites/billybambrough/2022/07/04/crypto-the-biggest-ponzi-scheme-in-human-history-china-blockchain-execs-back-bill-gates-and-warren-buffett-after-huge-bitcoin-price-crash/amp/,Crypto  The Biggest Ponzi Scheme In Human History  China Blockchain Execs Back Bill Gates And Warren Buffett After Huge Bitcoin Price Crash,20220704T144500Z,https://imageio.forbes.com/specials-images/imageserve/5d66234ffead280008925a49/0x0.jpg?format=jpg,forbes.com,English,United States,0.006,0.964,-2,0
5,2022-07-05 11:56:46.416351+02,bitcoin,https://www.fool.com/investing/2022/07/04/why-bitcoin-stocks-crashed-again-last-month/?source=iedfolrf0000001,"",Why Bitcoin Stocks Crashed ( Again ) Last Month,20220704T180000Z,https://g.foolcdn.com/editorial/images/688296/cryptocurrency-coins-bitcoin-ethereum-ripple-litecoin.jpg,fool.com,English,United States,0.002,0.966,-2,0
6,2022-07-05 11:56:46.418351+02,bitcoin,https://www.coinspeaker.com/tesla-losses-bitcoin-investment-btc-crash/,https://www.coinspeaker.com/tesla-losses-bitcoin-investment-btc-crash/amp/,Tesla Positioned for Losses in Bitcoin Investment Loss Due to BTC Crash,20220704T151500Z,https://www.coinspeaker.com/wp-content/uploads/2022/07/tesla-losses-bitcoin-investment-btc-crash.jpg,coinspeaker.com,English,United States,0.005,0.925,-2,0
7,2022-07-05 11:56:46.419351+02,bitcoin,https://www.indiatoday.in/business/story/bitcoin-price-crashes-below-20-000-cryptocurrency-market-in-red-1969996-2022-07-04,https://www.indiatoday.in/amp/business/story/bitcoin-price-crashes-below-20-000-cryptocurrency-market-in-red-1969996-2022-07-04,"Bitcoin price crashes below $20 , 000 , cryptocurrency market in red",20220704T110000Z,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202207/6SAMNTRT7VOPROLBF6PSNBNXIU_0-647x363.jpeg?b19sFDLim6_zZ8bC3QhB77DYDxq8JUAY,indiatoday.in,English,India,0.002,0.986,-2,0
8,2022-07-05 11:56:46.421351+02,bitcoin,https://www.pulse.com.gh/business/local/top-5-crypto-trading-platforms-in-ghana-2022/49nz185,https://www.pulse.com.gh/business/local/top-5-crypto-trading-platforms-in-ghana-2022/49nz185.amp,Top 5 crypto trading platforms in Ghana 2022,20220704T164500Z,https://ocdn.eu/pulscms-transforms/1/8XbktkuTURBXy80Y2QxNzY2ZS1lYjIzLTRlMjctYmYwOS0xNDhiZTlhZjg4OTEuanBlZ5KVAwDNASTNFFDNC22TBc0EsM0Cdg,pulse.com.gh,English,Ghana,0.467,0.003,0.467,0
9,2022-07-05 11:56:46.42216+02,bitcoin,https://www.dailyfx.com/forex/market_alert/2022/07/04/Bitcoin-Price-Analysis-BTCUSD-Grapples-with-Support-Ahead-of-FOMC-.html,https://www.dailyfx.com/forex/market_alert/2022/07/04/Bitcoin-Price-Analysis-BTCUSD-Grapples-with-Support-Ahead-of-FOMC-.html/amp,Bitcoin Price Analysis : BTC / USD Grapples with Support Ahead of FOMC,20220704T211500Z,https://a.c-dn.net/b/3RSTOJ/headline_BITCOIN_STACK.jpg,dailyfx.com,English,China,0.541,0.003,0.541,0
10,2022-07-05 11:56:46.42266+02,bitcoin,https://www.thisdaylive.com/index.php/2022/07/04/rodrigues-govt-must-unlock-opportunities-in-bitcoin-to-create-jobs-2/,https://www.thisdaylive.com/index.php/2022/07/04/rodrigues-govt-must-unlock-opportunities-in-bitcoin-to-create-jobs-2/amp/,Rodrigues : Govt Must Unlock Opportunities in Bitcoin to Create Jobs – THISDAYLIVE,20220704T044500Z,"",thisdaylive.com,English,Nigeria,0.988,0.001,2,0
